Zone Name;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7;Channel8;Channel9;Channel10;Channel11;Channel12;Channel13;Channel14;Channel15;Channel16;Channel17;Channel18;Channel19;Channel20;Channel21;Channel22;Channel23;Channel24;Channel25;Channel26;Channel27;Channel28;Channel29;Channel30;Channel31;Channel32;Channel33;Channel34;Channel35;Channel36;Channel37;Channel38;Channel39;Channel40;Channel41;Channel42;Channel43;Channel44;Channel45;Channel46;Channel47;Channel48;Channel49;Channel50;Channel51;Channel52;Channel53;Channel54;Channel55;Channel56;Channel57;Channel58;Channel59;Channel60;Channel61;Channel62;Channel63;Channel64;Channel65;Channel66;Channel67;Channel68;Channel69;Channel70;Channel71;Channel72;Channel73;Channel74;Channel75;Channel76;Channel77;Channel78;Channel79;Channel80
All 2m DMR;SM0 DMR Anrop 2m;SM0WIU Högdalen;SK0EN Älmsta 2m;SK2AU_Skellefteå;SK2HG Seskarö 2m;SK2HG Kalix 2m;SK3WH Örnsköldsv;SK3RHU Hudiksval;SK4RKD Karlskoga;SK5UM Flen 2m;SK6IF Tanumshede;SK6RKI Kortedala;SK6IF Kungshamn;SK6RFP Bengtsfor;SK6QA Stenungsun;SL6ZAQ Uddevalla;SK6DW Trollhätta;SK7RNQ Gladsax 2;SG7RFH Nässjö 2m;SK7RMQ Linderöd;SK7RQX Hallandså;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All 70cm DMR;SM0 DMR Anrop 70;SK0RMQ Tyresö 70;SA0AZT Vallentun;SK0QO Haninge;SK0EN Älmsta 70c;SM0WIU Nynäshamn;SK0RMT Täby 70cm;SK0RYG U.Väsby 7;SA0AZT Norrtälje;SM0WIU Dalarö 70;SM0WIU Botkyrka;SM0WIU Södertälj;SK0RPF Sigtuna 7;SK0NN Johannesho;SK0RYG Kista 70c;SK0RYG Stockholm;SK0VR Värmdö 70c;SK0SX Kista 70cm;SK2RGJ Kiruna 70;SK2HG Kalix-Vatt;SK2RJH Kalix 70c;SK2CI Boden 70cm;SK2AZ Piteå 70cm;SK2DR Luleå 70cm;SK2AT Vännäs 70c;SK2HG Kalix 70cm;SM3YFX Föllinge;SK3JR ÖstersundD;SK3RHU_Hudiksval;SK3GK Gävle 70cm;SK3RFG_Sundsvall;SK3RFG.Sundsvall;SM4WIU Leksand 7;SK4RGL Falun 70c;SA4BHE Smedjebac;SK4WV Vansbro 70;SK4TL Örebro 70c;SK4KR Karlskoga;SK4BW Borlänge 7;SA4BNA Arvika 70;SA5BJM Uppsala 7;SK5RYG Linköping;SG5BCG Knivsta 7;SG5DV Uppsala 70;SA5HAV Uppsala 7;SM5DWC Linköping;SL5ZYT Norrköpin;SK6DG Alingsås 7;SM6TKT Borås 70c;SK6QA_Stenungsun;SL6ZYW Bengtsfor;SK6AG GuldhedenD;SA6RP Floda 70cm;SK6RKI Öckerö 70;SK6DW_Trollhätta;SA6APY Skara 70c;SK7BQ_Kristianst;SK7RFL.Algutsrum;SK7AF Eksjö 70cm;SK7RJL Lund;SG7BNT Bruzaholm;SK7REE Helsingbo;SK7RPQ Malmö 70c;SK7REE_Söderåsen;SA7BJF Södra Vi;SK7JD VästervikD;SK7HW Växjö 70cm;SK7RJL Malmö 70c;SK7DL Emmaboda 7;SG7RFH Nässjö 70;SA7BIK Höör 70cm;SA7CCO Sjöbo 70c;SM7NTJ Aneby;SK7RBK Bjärnum 7;SK7REE Örkelljun;SK7RGI_Jönköping;;;;
SM0 All Channels;SM0 Skärgård 2m;SM0 DMR Anrop 2m;SM0 Lokaltraf 2m;SM0 FM Anrop 2m;SM0 Rix Anrop 2m;SM0 DMR Anrop 70;SM0 FM Anrop 70;SL0ZS Västberga;SK0RDZ Brottby 2;SM0MMO Tullinge;SK0PQ Kista 2m;SK0QO Haninge 2m;SK0MG Södertälje;SK0BJ Nynäshamn;SK0NN Stockholm;SK0BJ NynäshamnA;SM0OFV Solna 2m;SK0MM Ingarö 2m;SK0RYG_Stockholm;SK0NN Haninge;SK0QO Bagarmosse;SK0BJ Huddinge 7;SK0CT Kista 70cm;SK0BJ.NynäshamnA;SK0CT Kista;SK0RYG U.Väsby;SK0MG Haninge 70;SK0MT Vallentuna;SK0BJ_NynäshamnA;SM0YIX Söder 70c;SK0QO Haninge 70;SK0NN Haninge 70;SA0AZT Brottby 7;SK0ZA Solna 70cm;SK0YZ Vallentuna;SL0ZS VästbergaA;SM0WIU Högdalen;SK0EN Älmsta 2m;SK0RMQ Tyresö 70;SA0AZT Vallentun;SK0QO Haninge;SK0EN Älmsta 70c;SM0WIU Nynäshamn;SK0RMT Täby 70cm;SK0RYG U.Väsby 7;SA0AZT Norrtälje;SM0WIU Dalarö 70;SM0WIU Botkyrka;SM0WIU Södertälj;SK0RPF Sigtuna 7;SK0NN Johannesho;SK0RYG Kista 70c;SK0RYG Stockholm;SK0VR Värmdö 70c;SK0SX Kista 70cm;;;;;;;;;;;;;;;;;;;;;;;;;
SM0 Analogue;SM0 Skärgård 2m;SM0 Lokaltraf 2m;SM0 FM Anrop 2m;SM0 Rix Anrop 2m;SM0 FM Anrop 70;SL0ZS Västberga;SK0RDZ Brottby 2;SM0MMO Tullinge;SK0PQ Kista 2m;SK0QO Haninge 2m;SK0MG Södertälje;SK0BJ Nynäshamn;SK0NN Stockholm;SK0BJ NynäshamnA;SM0OFV Solna 2m;SK0MM Ingarö 2m;SK0RYG_Stockholm;SK0NN Haninge;SK0QO Bagarmosse;SK0BJ Huddinge 7;SK0CT Kista 70cm;SK0BJ.NynäshamnA;SK0CT Kista;SK0RYG U.Väsby;SK0MG Haninge 70;SK0MT Vallentuna;SK0BJ_NynäshamnA;SM0YIX Söder 70c;SK0QO Haninge 70;SK0NN Haninge 70;SA0AZT Brottby 7;SK0ZA Solna 70cm;SK0YZ Vallentuna;SL0ZS VästbergaA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM0 DMR;SM0 DMR Anrop 2m;SM0 DMR Anrop 70;SM0WIU Högdalen;SK0EN Älmsta 2m;SK0RMQ Tyresö 70;SA0AZT Vallentun;SK0QO Haninge;SK0EN Älmsta 70c;SM0WIU Nynäshamn;SK0RMT Täby 70cm;SK0RYG U.Väsby 7;SA0AZT Norrtälje;SM0WIU Dalarö 70;SM0WIU Botkyrka;SM0WIU Södertälj;SK0RPF Sigtuna 7;SK0NN Johannesho;SK0RYG Kista 70c;SK0RYG Stockholm;SK0VR Värmdö 70c;SK0SX Kista 70cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM1 All Channels;SK1RGU Endre 2m;SL1ZXK Slite 70c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM1 Analogue;SK1RGU Endre 2m;SL1ZXK Slite 70c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM2 All Channels;SK2RMD Sorsele 2;SK2AZ Piteå 2m;SK2RYI Vindeln 2;SK2RFR Kiruna 2m;SK2CI Boden 2m;SK2RLJ Umeå 2m;SK2DR Luleå 2m;SM2KOT Kristineb;SK2RWJ Älvsbyn 2;SK2AU Arjeplog 2;SK2AU Skellefteå;SK2RIU Vännäs 2m;SK2RMR Storuman;SK2LY Lycksele 2;SK2RME Piteå 70c;SJ2W Skellefteå;SK2RIU Vännäs 70;SK2RMR StorumanA;SM2KXX Lycksele;SK2RFR Kiruna C;SJ2W Burträsk 70;SK2AU_Skellefteå;SK2HG Seskarö 2m;SK2HG Kalix 2m;SK2RGJ Kiruna 70;SK2HG Kalix-Vatt;SK2RJH Kalix 70c;SK2CI Boden 70cm;SK2AZ Piteå 70cm;SK2DR Luleå 70cm;SK2AT Vännäs 70c;SK2HG Kalix 70cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM2 Analogue;SK2RMD Sorsele 2;SK2AZ Piteå 2m;SK2RYI Vindeln 2;SK2RFR Kiruna 2m;SK2CI Boden 2m;SK2RLJ Umeå 2m;SK2DR Luleå 2m;SM2KOT Kristineb;SK2RWJ Älvsbyn 2;SK2AU Arjeplog 2;SK2AU Skellefteå;SK2RIU Vännäs 2m;SK2RMR Storuman;SK2LY Lycksele 2;SK2RME Piteå 70c;SJ2W Skellefteå;SK2RIU Vännäs 70;SK2RMR StorumanA;SM2KXX Lycksele;SK2RFR Kiruna C;SJ2W Burträsk 70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM2 DMR;SK2AU_Skellefteå;SK2HG Seskarö 2m;SK2HG Kalix 2m;SK2RGJ Kiruna 70;SK2HG Kalix-Vatt;SK2RJH Kalix 70c;SK2CI Boden 70cm;SK2AZ Piteå 70cm;SK2DR Luleå 70cm;SK2AT Vännäs 70c;SK2HG Kalix 70cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
